project_name,tech_stack,description
React Portfolio,"React, Node.js, MongoDB",Description to be added.
Angular Portfolio,"Angular,.NET, SQL Server",Description to be added.
Vue Portfolio,"Vue.js, Ruby on Rails, PostgreSQL",Description to be added.
Python Portfolio,"Python, Django, MySQL",Description to be added.
Java Portfolio,"Java, Spring Boot, Oracle",Description to be added.
Flutter Portfolio,"Flutter, Firebase, GraphQL",Description to be added.
Wordpress Portfolio,"WordPress, PHP, MySQL",Description to be added.
Magento Portfolio,"Magento, PHP, MySQL",Description to be added.
React Native Portfolio,"React Native, Node.js, MongoDB",Description to be added.
Ios Portfolio,"iOS, Swift, Core Data",Description to be added.
Android Portfolio,"Android, Java, Room Persistence",Description to be added.
Kotlin Android Portfolio,"Kotlin, Android, Firebase",Description to be added.
Android Tv Portfolio,"Android TV, Kotlin, Android NDK",Description to be added.
Ios Ar Portfolio,"iOS, Swift, ARKit",Description to be added.
Xamarin Portfolio,"Cross-platform, Xamarin, Azure",Description to be added.
Kotlin Backend Portfolio,"Backend, Kotlin, Spring Boot",Description to be added.
Typescript Frontend Portfolio,"Frontend, TypeScript, Angular",Description to be added.
Full Stack Js Portfolio,"Full-stack, JavaScript, Express.js",Description to be added.
Ml Python Portfolio,"Machine Learning, Python, TensorFlow",Description to be added.
Devops Portfolio,"DevOps, Jenkins, Docker",Description to be added.
